,Name,Club_Position,Height,Weight
1218,Antônio Chiamuloira,defensa,182,79
1222,Bart Ramselaar,ataque,178,73
1223,Moussa Marega,ataque,186,83
1233,Aytaç Sulu,defensa,183,80
1237,Erick Gutiérrez,central,176,70
1239,Andrija Živković,central,170,66
1243,Diego Carlos,defensa,185,79
1244,José Luis Gómez,defensa,173,63
1245,Camarasa,ataque,183,76
1248,Genki Haraguchi,central,177,68
1249,Víctor García,defensa,175,70
1250,Carlos Mané,central,173,67
1251,Maximilian Philipp,central,183,76
1253,Matteo Politano,ataque,171,65
1255,Capa,defensa,173,70
1256,Armando Izzo,defensa,183,78
1258,Youssouf Sabaly,defensa,174,64
1259,Deyverson,ataque,187,78
1260,Gerardo Alcoba,defensa,183,80
1261,Emiliano Rigoni,central,178,74
1262,Édson Puch,ataque,168,73
1264,Silvio Romero,ataque,175,86
1265,Carlos Izquierdoz,defensa,184,89
1268,Frank Fabra,defensa,172,72
1269,Éder Balanta,defensa,181,84
1270,Ricardo Horta,central,173,61
1271,Diego Laxalt,central,178,66
1273,Levin Öztunali,central,184,80
1274,Niklas Stark,central,190,81
1275,Nicolás Castillo,ataque,179,74
1278,Marcos Lopes,central,174,68
1280,Leander Dendoncker,central,188,83
1283,Yannick Gerhardt,defensa,184,81
1284,Iuri Medeiros,ataque,174,66
1285,Dominik Kohr,central,183,75
1286,Lazar Marković,central,175,66
1287,Vincenzo Grifo,central,180,76
1288,Robert Berić,ataque,188,83
